SBFlux_f1_Mean,SBFlux_f1_Std,SBFlux_f2_Mean,SBFlux_f2_Std,SBFlux_f3_Mean,SBFlux_f3_Std,SBFlux_f4_Mean,SBFlux_f4_Std,SBFlux_f5_Mean,SBFlux_f5_Std,SBFlux_f6_Mean,SBFlux_f6_Std,SBFlux_f7_Mean,SBFlux_f7_Std,SBFlux_f8_Mean,SBFlux_f8_Std,SBFlux_f9_Mean,SBFlux_f9_Std,SBFlux_f10_Mean,SBFlux_f10_Std,SBEntropy_f1_Mean,SBEntropy_f1_Std,SBEntropy_f2_Mean,SBEntropy_f2_Std,SBEntropy_f3_Mean,SBEntropy_f3_Std,SBEntropy_f4_Mean,SBEntropy_f4_Std,SBEntropy_f5_Mean,SBEntropy_f5_Std,SBEntropy_f6_Mean,SBEntropy_f6_Std,SBEntropy_f7_Mean,SBEntropy_f7_Std,SBEntropy_f8_Mean,SBEntropy_f8_Std,SBEntropy_f9_Mean,SBEntropy_f9_Std,SBEntropy_f10_Mean,SBEntropy_f10_Std,SBZCR_f1_Mean,SBZCR_f1_Std,SBZCR_f2_Mean,SBZCR_f2_Std,SBZCR_f3_Mean,SBZCR_f3_Std,SBZCR_f4_Mean,SBZCR_f4_Std,SBZCR_f5_Mean,SBZCR_f5_Std,SBZCR_f6_Mean,SBZCR_f6_Std,SBZCR_f7_Mean,SBZCR_f7_Std,SBZCR_f8_Mean,SBZCR_f8_Std,SBZCR_f9_Mean,SBZCR_f9_Std,SBZCR_f10_Mean,SBZCR_f10_Std,SBKurtosis_f1_Mean,SBKurtosis_f1_Std,SBKurtosis_f2_Mean,SBKurtosis_f2_Std,SBKurtosis_f3_Mean,SBKurtosis_f3_Std,SBKurtosis_f4_Mean,SBKurtosis_f4_Std,SBKurtosis_f5_Mean,SBKurtosis_f5_Std,SBKurtosis_f6_Mean,SBKurtosis_f6_Std,SBKurtosis_f7_Mean,SBKurtosis_f7_Std,SBKurtosis_f8_Mean,SBKurtosis_f8_Std,SBKurtosis_f9_Mean,SBKurtosis_f9_Std,SBKurtosis_f10_Mean,SBKurtosis_f10_Std,SBSkewnessn_f1_Mean,SBSkewnessn_f1_Std,SBSkewnessn_f2_Mean,SBSkewnessn_f2_Std,SBSkewnessn_f3_Mean,SBSkewnessn_f3_Std,SBSkewnessn_f4_Mean,SBSkewnessn_f4_Std,SBSkewnessn_f5_Mean,SBSkewnessn_f5_Std,SBSkewnessn_f6_Mean,SBSkewnessn_f6_Std,SBSkewnessn_f7_Mean,SBSkewnessn_f7_Std,SBSkewnessn_f8_Mean,SBSkewnessn_f8_Std,SBSkewnessn_f9_Mean,SBSkewnessn_f9_Std,SBSkewnessn_f10_Mean,SBSkewnessn_f10_Std,Class
-0.391605,-0.286975,-0.880889,-0.432053,-1.233541,-1.15612,-0.020136,-0.008444,2.057417,3.896088,1.018269,2.283582,-0.434573,-0.091511,-0.630787,0.112029,-0.746765,-0.59318,-0.443436,-0.255339,-0.05341,0.413783,0.993153,1.024454,1.25966,0.498818,-0.263291,-0.079468,-1.154097,1.436877,-1.279186,1.723882,-0.052255,0.817081,0.993799,0.194511,-0.942881,0.726252,-1.12461,-0.708055,-0.212254,-0.094632,0.134973,0.327606,1.066158,1.114529,-0.386784,-0.337085,0.165696,-0.139995,-1.579358,-0.603399,-0.834617,0.157623,-0.844937,1.075741,-1.612648,1.220927,-0.762875,-0.953331,0.318642,-0.000493,-0.019763,-0.18219,0.153889,-0.265868,1.380503,0.544395,1.586454,1.696487,1.116917,2.045519,0.476216,1.459723,-1.01175,-0.160398,-0.953495,-0.606132,1.679385,1.136951,0.384385,0.113688,-0.050788,0.030834,0.069462,-0.016313,1.249816,0.632366,1.41289,1.602925,0.913305,1.837382,0.221713,1.306317,-1.056202,-0.418033,1.921702,1.148977,1.490839,-0.514011,Blues
-0.749293,-0.616673,0.358651,1.10133,-0.61236,0.176164,-0.659448,1.077015,-1.099397,-0.095984,-1.273168,-1.055316,-1.265315,-1.351388,-1.038075,-0.99436,-0.825197,-0.705345,-0.807969,-0.206266,0.400163,0.167028,-1.92078,0.336547,-1.132533,-0.070885,-0.748245,0.183852,0.117912,0.145526,0.295569,-0.332171,0.895047,-0.750685,0.981759,-0.134258,-1.562073,2.27795,-1.877975,1.304076,0.044746,-0.457368,-0.299587,-0.327903,-0.278518,-0.464194,-0.468521,-0.26511,-0.614972,0.036288,-1.574538,0.596097,-1.521166,1.105469,-1.245905,2.941536,-1.47723,1.980753,-1.258634,-0.66306,-0.406462,-0.392981,4.250597,7.239725,1.200548,1.349295,1.228658,1.018798,1.214876,1.238947,0.903551,0.62312,-0.412225,-0.235967,-1.491252,-0.22236,-0.641568,0.871249,0.795379,0.827243,-0.323357,-0.482955,2.776355,5.014463,1.225366,1.280175,1.232012,1.220935,1.085936,1.297145,0.795957,0.599835,-1.025672,0.971992,-1.525807,-0.75445,1.182052,1.117843,0.875375,-0.113973,Blues
-0.550412,-0.6231,-1.018272,-0.935625,-1.108347,-0.836562,1.793022,2.791336,-0.120504,0.963638,-0.394612,1.057173,-0.296755,1.173399,-0.505864,0.050069,-0.828235,-0.833607,-0.727278,-0.666903,-0.610511,0.825991,0.653813,0.527639,1.045283,1.650305,-1.340348,1.034451,-0.489009,0.139787,-0.033138,0.901186,-0.651921,0.936669,-2.787847,2.014936,-0.633647,0.693773,-1.268812,0.275448,-0.955363,-0.763871,-0.389508,-0.327868,0.780036,0.755839,-0.80184,-0.349399,-0.492287,-0.330567,0.906697,-0.280842,0.601335,1.59893,-1.370218,-0.143236,-1.519856,1.209963,-0.806612,-0.533412,0.957796,1.197892,0.466835,0.562603,0.67557,1.180787,1.435002,1.707785,1.767703,2.072768,0.804624,0.823082,-0.369102,-0.17976,0.599209,1.940757,-1.318756,-0.866691,1.169984,-0.274408,0.844155,1.679071,0.309125,1.031135,0.385908,1.92783,1.273956,1.961621,1.403966,1.890472,0.73591,0.485563,-0.442093,-0.213132,1.040068,1.920215,1.047872,-0.471538,1.116583,-1.137268,Blues
-0.317099,-0.273019,-1.013257,-0.953213,-0.925001,-0.620006,1.906654,3.915042,0.034448,0.636885,-0.84407,-0.482248,-0.745204,-0.072134,-0.805867,-0.625005,-0.774062,-0.882813,-0.668833,-0.564517,-1.284652,0.241858,0.177396,0.12802,0.142924,0.997132,-1.221163,1.574902,-0.866687,0.270052,0.144488,0.366054,0.281547,0.921397,-0.355195,1.882773,-0.586059,-0.538181,-1.571341,0.126168,-1.145933,-1.005569,-0.638695,-0.63031,-0.083295,-0.087904,-0.759556,-0.056376,-1.505628,-0.33326,-0.123486,-0.265238,0.286772,0.774732,-0.758485,0.181781,-0.472267,0.671504,-1.078719,-0.737705,2.528418,1.302631,0.57245,-0.021223,0.984498,0.788081,1.833215,2.215204,1.512439,1.500285,0.501595,0.346004,-1.030997,-1.362402,-1.036453,0.608286,-0.967868,-0.706099,1.0163,0.163375,2.495522,1.36215,0.64532,0.268961,0.95349,1.285363,1.578638,2.40393,1.343156,1.525105,0.464276,0.063142,-1.471964,0.13681,-0.904315,1.492358,-0.404332,-0.787791,0.992355,-0.837797,Blues
-0.431963,-0.541115,-1.139472,-1.124573,-1.407964,-1.158434,-0.277372,1.409482,-0.135882,1.247941,-0.805625,0.196603,-0.704577,0.65167,-0.868035,-0.192281,-0.883515,-0.883226,-1.192554,-1.037202,-1.524683,1.031888,-0.071781,1.063814,1.047467,1.700268,-1.234394,1.469068,-1.503846,1.946982,-0.197842,1.227804,-1.315994,1.6932,-1.385489,2.597199,-0.771576,0.10984,-1.962303,0.601447,-1.144969,-1.03353,-0.67577,-0.519135,0.442491,0.637739,-0.797063,-0.219839,-1.344845,-0.193842,0.339746,1.133457,-0.779967,2.072969,-1.122018,0.168967,-1.084882,0.83496,-1.16967,-0.691424,4.178898,6.435716,1.524107,1.569809,0.741669,1.170565,2.077381,3.407529,1.025812,2.064052,0.646713,1.058042,-0.717093,-0.016787,-0.073487,1.409784,-1.246913,-0.97408,1.152186,1.462577,3.156694,4.817089,1.322139,1.97346,0.567478,1.743601,1.547182,2.836016,0.860614,2.166737,0.543097,0.715372,-0.512985,0.012687,0.507335,1.865513,0.423916,-0.152146,1.103703,-0.262252,Blues
-0.565436,-0.597399,-1.136341,-1.010458,-1.209121,-1.087517,0.331801,0.740595,0.083374,2.06103,-0.296897,0.954455,-0.504015,0.946085,-0.752072,-0.308425,-0.83905,-0.829277,-1.102101,-0.968336,-0.559195,0.896677,0.935878,0.72014,1.011608,1.302292,-0.978166,1.041316,-0.642951,1.525488,-0.290895,1.171547,-0.273089,1.103023,-1.002198,2.123433,-0.379816,-0.365335,-1.245894,-0.086436,-1.046228,-0.909058,-0.314453,-0.204644,0.398989,0.26805,-0.608819,-0.247225,-0.242826,-0.036333,1.124508,-0.121483,0.399377,1.635965,-0.851698,-0.439748,-0.637664,0.531082,-0.823002,-0.570669,1.347414,1.689029,0.358865,0.300968,0.797488,1.135503,1.792567,2.084646,1.713441,1.560595,0.919807,1.466609,-0.456167,-0.260608,-0.453762,1.234892,-1.086197,-0.609326,1.152163,0.747889,1.273766,2.199638,0.285323,0.970489,0.526569,1.644427,1.459769,2.439211,1.396159,1.750943,0.819798,1.017558,-0.569685,0.14272,-0.183418,1.959211,0.065242,-0.572698,1.087778,-0.662239,Blues
-0.37937,-0.515981,-0.98757,-0.568877,-1.296185,-0.826783,-0.080836,0.372238,0.162525,1.367534,-0.18692,1.013338,-0.397772,1.154091,-0.758767,-0.281378,-0.817356,-0.821062,-0.998301,-0.90317,-0.904631,0.685965,0.433684,0.956342,1.31092,1.683264,-0.811074,0.967518,-0.592379,1.378701,0.197876,1.044925,-0.393268,1.558167,-0.27525,1.993,-0.363519,-0.48132,-1.242876,0.020799,-1.072912,-0.960832,-0.486409,-0.461213,0.522514,0.205645,-0.823601,-0.009091,-0.096033,-0.06236,1.172131,0.007055,-0.702772,1.244727,-0.430829,0.240249,-0.29775,0.072799,-0.858901,-0.644588,1.769558,1.701305,0.820055,0.851637,0.687442,0.813702,2.259013,3.022785,1.265494,1.759319,0.58198,0.720862,-0.47236,-0.10209,-0.672382,1.797279,-0.914406,-0.483093,1.057486,0.905613,1.702977,1.85323,0.652549,1.428508,0.460719,1.494628,1.747394,2.568437,1.070469,1.792229,0.548384,0.488302,-0.442338,-0.069511,-0.647943,2.719734,-0.308559,-0.629758,1.004473,-0.391092,Blues
-0.315218,-0.417484,-0.860224,-0.596764,-0.936694,-0.507322,0.998528,1.151939,-0.135322,0.441556,-0.850642,-0.276363,-0.595407,0.202099,-0.8184,-0.503608,-0.858239,-0.863925,-0.696439,-0.687814,-1.423915,0.34522,-0.291656,0.152542,-0.099898,0.344232,-1.263404,0.55889,-0.915173,0.389448,0.102352,0.736629,-0.647212,1.115017,-1.602397,1.089614,-1.182441,1.31332,-1.662757,0.198078,-1.162531,-1.074343,-0.626186,-0.624395,0.059162,-0.28929,-1.06209,-0.342233,-1.325258,-0.244712,1.613889,0.31493,0.22687,1.466508,-2.166246,0.215262,-2.17015,0.871435,-1.114572,-0.846529,3.373857,4.418194,1.679328,1.511376,1.619217,1.582212,3.134992,3.475683,1.929805,2.74828,0.912968,1.170803,-0.735968,-0.278031,-0.910733,0.679411,-1.361609,-1.22428,1.253907,0.422878,2.862146,4.057062,1.416114,1.624449,1.436076,1.776148,2.339195,3.322259,1.452776,2.797242,0.677992,0.946779,-0.992447,0.395546,-0.371812,0.717326,1.724273,-0.163605,1.199588,-0.802513,Blues
-0.541187,-0.581899,-0.965851,-0.380907,-1.073208,-0.514325,-0.012795,0.931258,-0.125108,1.428851,-1.025837,-0.284717,-0.962673,-0.344382,-0.865594,-0.369486,-0.80257,-0.860594,-1.034549,-0.816985,-1.438921,0.851573,-0.319686,0.455743,0.151257,1.367117,-1.012089,1.206157,-1.329208,2.99015,0.099113,0.922949,0.095589,1.357818,-0.207749,2.520013,-0.683434,-0.670711,-1.500016,0.190472,-1.158552,-0.998367,-0.479701,-0.516458,0.223235,0.353305,-0.229678,0.100681,-1.619919,0.075274,0.749949,0.059992,0.015528,0.843009,-0.155433,0.818432,-0.1608,0.26788,-1.007185,-0.667811,2.087085,1.276466,0.532764,0.487613,0.946104,1.243157,1.810094,2.419306,0.285074,0.616386,-0.109006,-0.4308,-1.248629,-1.835847,-1.00404,0.820711,-0.554288,-0.114303,0.996109,2.05318,2.144284,1.710118,0.6116,0.777091,0.750123,1.450525,1.483086,2.449731,0.342556,0.946637,-0.026733,-0.700427,-1.528053,-0.633332,-1.052919,2.175671,-0.690675,-0.601675,0.907776,0.20232,Blues
-0.48861,-0.612277,-1.102244,-1.088222,-0.952647,0.290375,0.552706,1.262311,0.408785,1.35016,-0.183642,1.666361,-0.380411,1.30108,-0.757136,-0.334841,-0.849925,-0.844907,-0.853435,-0.801968,-1.019282,0.921275,0.66153,0.828762,0.654199,1.735188,-0.871797,0.815427,-1.030337,0.730243,-0.044289,0.551686,-0.450561,1.283441,-1.429655,1.458705,-0.770621,0.882641,-1.601796,0.293087,-1.068652,-0.914714,-0.353249,-0.224004,0.500494,0.301358,-0.838993,-0.153833,-0.982814,0.064135,0.374952,0.035593,-0.769698,1.7008,-1.751349,0.651288,-1.580098,0.973433,-0.903073,-0.622365,2.41906,2.129255,1.03644,1.2051,1.88525,3.663622,2.048542,2.858381,2.352939,3.544642,0.977913,0.781234,-0.537774,0.077072,-0.351269,1.731456,-1.403855,-1.106746,1.361956,0.452806,2.252282,2.576699,0.799177,1.812686,1.135152,3.490525,1.643683,2.430245,1.669876,3.245615,0.866815,0.61897,-0.731948,0.603554,0.022916,1.373995,1.099367,-0.602558,1.273769,-0.848621,Blues
